row_id,names,original_type,new_type,geometry_type,issue
181,Глухой мост,infrastructure,street,POLYGON,bridge_non_line_geometry
312,Карантинный спуск,street,street,POLYGON,street_polygon_geometry
357,Красноселка,town,settlement,POINT,settlement_point_no_polygon
380,Куяльницкий мост,infrastructure,street,POLYGON,bridge_non_line_geometry
393,Лидерсовский бульвар,street,street,POLYGON,street_polygon_geometry
439,Матроский спуск,street,street,POLYGON,street_polygon_geometry
485,Николаевская дорога,street,street,POLYGON,street_polygon_geometry
505,Овидиопольская дорога,street,street,POLYGON,street_polygon_geometry
542,Парковая,street,park,LINESTRING,park_line_geometry
549,Пересипский мост,infrastructure,street,POLYGON,bridge_non_line_geometry
573,Польский спуск,street,street,POLYGON,street_polygon_geometry
629,Садиковская,street,park,LINESTRING,park_line_geometry
630,Садовая,street,park,LINESTRING,park_line_geometry
631,Садовского,street,park,LINESTRING,park_line_geometry
670,спуск Ковалевского,street,street,POLYGON,street_polygon_geometry
688,Строганов мост,infrastructure,street,POLYGON,bridge_non_line_geometry
709,Тещин мост,infrastructure,street,POLYGON,bridge_non_line_geometry
711,Тираспольское шоссе,street,street,POLYGON,street_polygon_geometry
735,Улица Толбухина,street,street,POLYGON,street_polygon_geometry
760,Херсонский спуск,street,street,POLYGON,street_polygon_geometry
779,Червоный хутор,village,settlement,POINT,settlement_point_no_polygon
815,Юго-западный массив|Югозападный|Юго-западный|ЮЗМ,landmark,district,POINT,district_point_geometry
830,Александровка|Олександрівка,town,settlement,POINT,settlement_point_no_polygon
831,Белгород-Днестровский|Білгород-Дністровський,town,settlement,POINT,settlement_point_no_polygon
834,Беляевка|Біляївка,town,settlement,POINT,settlement_point_no_polygon
836,Березанка,town,settlement,POINT,settlement_point_no_polygon
837,Буялык|Буялик,town,settlement,POINT,settlement_point_no_polygon
838,Великодолинское|Великодолинське,town,settlement,POINT,settlement_point_no_polygon
839,Выпасное|Випасне,town,settlement,POINT,settlement_point_no_polygon
844,Затока,town,settlement,POINT,settlement_point_no_polygon
847,Красное|Красне,town,settlement,POINT,settlement_point_no_polygon
852,Лиманка,town,settlement,POINT,settlement_point_no_polygon
855,Маяки,town,settlement,POINT,settlement_point_no_polygon
856,Николаев|Миколаїв,town,settlement,POINT,settlement_point_no_polygon
857,Новотираспольский|Новотираспольський,town,settlement,POINT,settlement_point_no_polygon
859,Овидиополь|Овідіополь,town,settlement,POINT,settlement_point_no_polygon
860,Очаков|Очаків,town,settlement,POINT,settlement_point_no_polygon
861,Первомайск|Первомайськ,town,settlement,POINT,settlement_point_no_polygon
864,Раздельная|Роздільна,town,settlement,POINT,settlement_point_no_polygon
865,Сарата,town,settlement,POINT,settlement_point_no_polygon
866,Сергеевка|Сергіївка,town,settlement,POINT,settlement_point_no_polygon
872,Теплодар,town,settlement,POINT,settlement_point_no_polygon
875,Черноморское|Чорноморське,town,settlement,POINT,settlement_point_no_polygon
877,Штефан-Водэ|Ștefan Vodă|Штефан-Воде,town,settlement,POINT,settlement_point_no_polygon
878,Южное|Південне,town,settlement,POINT,settlement_point_no_polygon
896,Мичурина площадь,landmark,landmark,LINESTRING,square_line_geometry
897,Молодёжи площадь,landmark,landmark,LINESTRING,square_line_geometry
930,таможенная площадь,landmark,landmark,LINESTRING,square_line_geometry
933,Ярмарочная площадь,landmark,landmark,LINESTRING,square_line_geometry
934,Абрикосовое|Абрикосове,village,settlement,POINT,settlement_point_no_polygon
935,Авангард,village,settlement,POINT,settlement_point_no_polygon
936,Августовка|Августівка,village,settlement,POINT,settlement_point_no_polygon
937,Авидовка|Авидівка,village,settlement,POINT,settlement_point_no_polygon
938,Адамовка|Адамівка,village,settlement,POINT,settlement_point_no_polygon
939,Адамовка|Адамівка,village,settlement,POINT,settlement_point_no_polygon
940,Алава|Alava,village,settlement,POINT,settlement_point_no_polygon
941,Александровка|Олександрівка,village,settlement,POINT,settlement_point_no_polygon
943,Александровка|Олександрівка,village,settlement,POINT,settlement_point_no_polygon
945,Александровка|Олександрівка,village,settlement,POINT,settlement_point_no_polygon
947,Алексеевка|Олексіївка,village,settlement,POINT,settlement_point_no_polygon
956,Андреевка|Андріївка,village,settlement,POINT,settlement_point_no_polygon
958,Андреево-Зорино|Андрієво-Зорине,village,settlement,POINT,settlement_point_no_polygon
961,Антонешть/Антонешты|Antonești,village,settlement,POINT,settlement_point_no_polygon
962,Антоновка|Антонівка,village,settlement,POINT,settlement_point_no_polygon
963,Базарьянка|Базар’янка,village,settlement,POINT,settlement_point_no_polygon
964,Байрамча,village,settlement,POINT,settlement_point_no_polygon
965,Бакалово|Бакалове,village,settlement,POINT,settlement_point_no_polygon
966,Баланины|Баланини,village,settlement,POINT,settlement_point_no_polygon
969,Балково|Балкове,village,settlement,POINT,settlement_point_no_polygon
970,Барабой,village,settlement,POINT,settlement_point_no_polygon
971,Бараново|Баранове,village,settlement,POINT,settlement_point_no_polygon
972,Барвинок|Барвінок,village,settlement,POINT,settlement_point_no_polygon
973,Безводное|Безводне,village,settlement,POINT,settlement_point_no_polygon
974,Безымянка|Безім’янка,village,settlement,POINT,settlement_point_no_polygon
977,Белка|Білка,village,settlement,POINT,settlement_point_no_polygon
978,Белолесье|Білолісся,village,settlement,POINT,settlement_point_no_polygon
979,Беляры|Білярі,village,settlement,POINT,settlement_point_no_polygon
982,Березань,village,settlement,POINT,settlement_point_no_polygon
987,Бецилово|Бецилове,village,settlement,POINT,settlement_point_no_polygon
988,Благовещенское|Благовіщенське,village,settlement,POINT,settlement_point_no_polygon
991,Благодатне,village,settlement,POINT,settlement_point_no_polygon
995,Благодатное|Благодатне,village,settlement,POINT,settlement_point_no_polygon
996,Благодатное|Благодатне,village,settlement,POINT,settlement_point_no_polygon
998,Благодатное|Благодатне,village,settlement,POINT,settlement_point_no_polygon
999,Ближний Хутор|Ближній Хутір,village,settlement,POINT,settlement_point_no_polygon
1000,Блонское|Блонське,village,settlement,POINT,settlement_point_no_polygon
1001,Богатырёвка|Богатирівка,village,settlement,POINT,settlement_point_no_polygon
1004,Болгарка,village,settlement,POINT,settlement_point_no_polygon
1005,Большая Балка|Велика Балка,village,settlement,POINT,settlement_point_no_polygon
1007,Братське,village,settlement,POINT,settlement_point_no_polygon
1008,Бриновка|Бринівка,village,settlement,POINT,settlement_point_no_polygon
1009,Бритовка|Бритівка,village,settlement,POINT,settlement_point_no_polygon
1010,Будячки,village,settlement,POINT,settlement_point_no_polygon
