names,wkt_geom,type
Благодатное|Благодатне,POINT(30.17429 45.98362),village
Вапнярка,"POLYGON((30.8887428 46.5864847, 30.8875331 46.5864573, 30.8856565 46.5861188, 30.8861709 46.5848131, 30.885087 46.5846266, 30.8799689 46.58363, 30.8801101 46.5830298, 30.8791205 46.5827526, 30.8795197 46.5802678, 30.8810127 46.5777133, 30.8759584 46.5769831, 30.8769828 46.5742899, 30.8796699 46.5746617, 30.8811604 46.5704423, 30.8851695 46.5706899, 30.8852939 46.5691559, 30.885076 46.5691086, 30.8852667 46.568546, 30.885214 46.5685436, 30.8852869 46.5683387, 30.8853525 46.5678022, 30.8921358 46.5695931, 30.8937407 46.5712617, 30.8920956 46.5739299, 30.8916986 46.5748813, 30.8913392 46.5759249, 30.8908778 46.577374, 30.8904755 46.5778018, 30.8896762 46.5789522, 30.8891934 46.5861585, 30.8887428 46.5864847))",village
Вапнярка,"POLYGON((30.0337807 46.9558614, 30.0338743 46.956766, 30.0338457 46.9578177, 30.0340299 46.9589669, 30.0343235 46.9597613, 30.0345006 46.9628918, 30.0326374 46.962973, 30.0299118 46.9628713, 30.0295883 46.9598868, 30.0294763 46.95818, 30.0291898 46.956593, 30.0292576 46.9555566, 30.0314156 46.9554078, 30.031487 46.9558736, 30.0337807 46.9558614))",village
Василевка|Василівка,POINT(30.3029761 46.6129353),village
Василевка|Василівка,"POLYGON((31.7838328 46.524762, 31.7881547 46.5250986, 31.7892245 46.526718, 31.791386 46.5257295, 31.7927431 46.5260637, 31.7921805 46.5267155, 31.7907429 46.5275718, 31.7895412 46.5279261, 31.7897382 46.5282224, 31.7908098 46.5298482, 31.7918634 46.5297113, 31.7925024 46.5291662, 31.7927906 46.5285827, 31.793694 46.5283046, 31.7960714 46.5276013, 31.7982111 46.5262437, 31.7996613 46.5260801, 31.7999466 46.5269634, 31.7984726 46.5278303, 31.7957148 46.5289425, 31.7937654 46.5296622, 31.7927431 46.530709, 31.791911 46.5314123, 31.7903181 46.5318539, 31.7872037 46.5327698, 31.784592 46.5330931, 31.7843746 46.5326062, 31.783067 46.5296949, 31.782113 46.5274311, 31.7820304 46.5262944, 31.7838328 46.524762))",village
Василевка|Василівка,"POLYGON((31.4142878 46.8038572, 31.4134828 46.803487, 31.4141683 46.801998, 31.4123907 46.8014684, 31.4130655 46.8002823, 31.4138673 46.8001893, 31.4145926 46.7994733, 31.4164362 46.7961522, 31.4175893 46.7944146, 31.4200938 46.7951826, 31.421624 46.7957144, 31.4216322 46.7959701, 31.4248871 46.7976507, 31.4244363 46.7982221, 31.4238552 46.7986042, 31.4233961 46.7998931, 31.4222213 46.80198, 31.4212024 46.8039848, 31.4205501 46.8044807, 31.4200438 46.8049912, 31.4188301 46.8056646, 31.4163173 46.8091042, 31.4153218 46.8105157, 31.4138513 46.8098845, 31.4140133 46.8092322, 31.4120169 46.8087869, 31.4116536 46.8079609, 31.4123803 46.8066197, 31.4142878 46.8038572))",village
Великий Буялык|Великий Буялик,"LINESTRING(30.6437498 46.907045, 30.6399491 46.9091175, 30.6399201 46.9091491, 30.637483 46.9097919, 30.6373524 46.9096742, 30.6359654 46.9100755, 30.636012 46.9101799, 30.6343625 46.9106149, 30.6367926 46.9145543, 30.6348346 46.9152175, 30.6353028 46.9165292, 30.63675 46.9180597, 30.6356901 46.9183847, 30.6375891 46.9220738, 30.6417833 46.9212698, 30.6420464 46.9231456, 30.6422375 46.924231, 30.6418727 46.9272949, 30.642678 46.9307817, 30.6413356 46.9309087, 30.6413407 46.936196, 30.6426088 46.9417424, 30.643665 46.9462737, 30.6456975 46.9513752, 30.6457619 46.9529864, 30.6467651 46.9532251, 30.6471996 46.9557985, 30.6465559 46.95801, 30.6473609 46.9580985, 30.6496047 46.9581297, 30.6500779 46.958609, 30.651528 46.9594737, 30.6513449 46.9596091, 30.6495131 46.9592549, 30.6474707 46.9611972, 30.6492962 46.9619419, 30.6505492 46.9623217, 30.6508885 46.9621039, 30.6527732 46.9604455, 30.6564264 46.9593135, 30.6547527 46.9574974, 30.6553953 46.9561203, 30.655211 46.9540769, 30.6545426 46.9520617, 30.654207 46.9507848, 30.6541709 46.9485353, 30.6537838 46.9466901, 30.6557711 46.94624, 30.6563993 46.9461154, 30.6583163 46.9455159, 30.6609582 46.945063, 30.6610958 46.945217, 30.6610381 46.9446046, 30.6612598 46.9439689, 30.6620075 46.9440336, 30.6620277 46.9438489, 30.6622686 46.9416523, 30.6623842 46.9403768, 30.6626899 46.9394509, 30.6625867 46.9389166, 30.6620435 46.9376839, 30.6620098 46.937139, 30.6624203 46.9370834, 30.6622686 46.9356855, 30.6618895 46.9348959, 30.6617211 46.9341075, 30.6616241 46.9328118, 30.661882 46.9306322, 30.660954 46.9269963, 30.6580357 46.9248641, 30.663266 46.9234617, 30.6628518 46.9225551, 30.662456 46.9222189, 30.6615298 46.9221742, 30.6589253 46.9209666, 30.6572635 46.9198771, 30.6562547 46.9187601, 30.6568073 46.9182222, 30.6564877 46.9175493, 30.6559543 46.9167668, 30.6536407 46.9172975, 30.6534621 46.9173183)",village
Великий Буялык|Великий Буялик,"LINESTRING(30.6420761 46.8994082, 30.6421727 46.9023318, 30.6423819 46.9030428, 30.6437498 46.907045)",village
Великий Буялык|Великий Буялик,POINT(30.6505389 46.9341506),village
Веселе|Весёлое,"POLYGON((30.1007898 46.3221811, 30.1017815 46.3207008, 30.1014268 46.3205919, 30.1024357 46.3192626, 30.1048072 46.3143457, 30.1090043 46.3151075, 30.1090078 46.3165674, 30.1098667 46.3175672, 30.1079655 46.3200518, 30.1075404 46.3204934, 30.105667 46.3227661, 30.1045058 46.3228427, 30.1007898 46.3221811))",village
